"Book_Id";"Title";"Author";"My_Rating";"Average_Rating";"Number_of_Pages";"Original_Publication_Year";"Date_Read"
50042494;"Ghosts";"Dolly Alderton";"3";"3.92";"352";"2020";"2022/03/11"
32937225;"Oculto sendero";"Elena Fortún";"5";"4.11";"504";"2016";"2022/03/05"
16300727;"Sweet as a Pickle and Clean as a Pig";"Carson McCullers";"4";"3.28";"31";"1964";"2022/03/02"
18839;"Orlando";"Virginia Woolf";"4";"3.87";"336";"1928";"2022/03/01"
28113132;"(H)amor1";"Brigitte Vasallo";"3";"3.80";"192";"2015";"2022/02/24"
3191370;"Elisabeth, emperatriz de Austro-Hungria";"Ángeles Caso";"3";"3.69";"350";"1992";"2022/02/21"
40099418;"Everything I Know About Love";"Dolly Alderton";"5";"4.11";"358";"2018";"2022/02/13"
18113784;"La tía Tula";"Miguel de Unamuno";"4";"3.57";"186";"1921";"2022/02/08"
33385229;"They Both Die at the End";"Adam Silvera";"3";"3.82";"389";"2017";"2022/02/05"
58740628;"Things We Do Not Tell The People We Love";"Huma Qureshi";"4";"4.05";"288";"2021";"2022/02/01"
32179854;"El eco de los disparos: Cultura y memoria de la violencia";"Edurne Portela";"3";"4.00";"224";"2016";"2022/01/30"
58937590;"¿Quién teme a lo queer?";"Víctor Mora Gaspar";"3";"4.02";"216";"2021";"2022/01/29"
49535227;"Acts of Desperation";"Megan Nolan";"4";"3.79";"288";"2021";"2022/01/25"
56980548;"Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante, #2)";"Benjamin Alire Sáenz";"1";"4.14";"516";"2021";"2022/01/21"
7815;"The Year of Magical Thinking";"Joan Didion";"3";"3.93";"227";"2005";"2022/01/18"
42620918;"Can Everyone Please Calm Down?: Mae Martin's Guide to 21st Century Sexuality";"Mae Martin";"2";"4.20";"304";"2019";"2022/01/12"
52036;"Siddhartha";"Hermann Hesse";"4";"4.06";"152";"1922";"2022/01/11"
58649456;"I sette mariti di Evelyn Hugo";"Taylor Jenkins Reid";"4";"4.46";"420";"2017";"2022/01/06"
50204377;"El sueño de una lengua común";"Adrienne Rich";"4";"4.33";"170";"1978";"2022/01/03"
